Date,EOSUSDT,ETHUSDT,LINKUSDT,LTCUSDT
8/20/2020 0:00,3.35,408.65,16.23,62.2
8/20/2020 0:01,3.36,410.19,16.27,62.42
8/20/2020 0:02,3.36,410.66,16.27,62.41
8/20/2020 0:03,3.36,410.57,16.31,62.65
8/20/2020 0:04,3.37,411.53,16.32,62.76
8/20/2020 0:05,3.37,411.72,16.36,62.55
8/20/2020 0:06,3.37,410.77,16.37,62.79
8/20/2020 0:07,3.37,410.77,16.37,62.8
8/20/2020 0:08,3.37,411,16.36,62.77
8/20/2020 0:09,3.38,411.55,16.4,62.84
8/20/2020 0:10,3.39,411.88,16.43,62.81
8/20/2020 0:11,3.39,413.06,16.46,62.85
8/20/2020 0:12,3.39,413.26,16.57,62.8
8/20/2020 0:13,3.38,412.07,16.52,62.64
8/20/2020 0:14,3.39,412.99,16.54,62.78
8/20/2020 0:15,3.39,413.06,16.45,62.81
8/20/2020 0:16,3.38,412.62,16.5,62.79
8/20/2020 0:17,3.38,413.12,16.49,62.83
8/20/2020 0:18,3.38,412.99,16.43,62.75
8/20/2020 0:19,3.38,412.71,16.42,62.67
8/20/2020 0:20,3.38,413.53,16.5,62.72
8/20/2020 0:21,3.39,414.15,16.51,62.83
8/20/2020 0:22,3.39,414.06,16.5,62.9
8/20/2020 0:23,3.4,414.57,16.56,62.99
8/20/2020 0:24,3.4,414.16,16.54,63.03
8/20/2020 0:25,3.4,414.18,16.59,62.99
8/20/2020 0:26,3.4,414.4,16.59,63.09
8/20/2020 0:27,3.4,414.31,16.63,63.04
8/20/2020 0:28,3.39,413.68,16.71,63.01
8/20/2020 0:29,3.4,413.09,16.65,63.01
8/20/2020 0:30,3.4,413.27,16.61,63.01
8/20/2020 0:31,3.4,413.49,16.64,63.1
8/20/2020 0:32,3.4,413.57,16.6,63.08
8/20/2020 0:33,3.4,413.24,16.62,63.06
8/20/2020 0:34,3.4,412.81,16.6,62.94
8/20/2020 0:35,3.39,412.32,16.58,62.86
8/20/2020 0:36,3.4,412.53,16.56,62.89
8/20/2020 0:37,3.4,412.73,16.59,62.94
8/20/2020 0:38,3.4,413.15,16.58,62.94
8/20/2020 0:39,3.41,413.21,16.61,63.02
8/20/2020 0:40,3.4,412.43,16.54,62.91
8/20/2020 0:41,3.4,412.52,16.57,62.92
8/20/2020 0:42,3.4,412.34,16.57,62.93
8/20/2020 0:43,3.41,412.49,16.56,62.92
8/20/2020 0:44,3.41,412.33,16.59,62.95
8/20/2020 0:45,3.42,412.61,16.61,62.99
8/20/2020 0:46,3.42,412.56,16.61,63.05
8/20/2020 0:47,3.41,412.75,16.57,63.05
8/20/2020 0:48,3.41,412.41,16.53,62.98
8/20/2020 0:49,3.42,412.42,16.52,62.97
8/20/2020 0:50,3.41,411.37,16.53,62.91
8/20/2020 0:51,3.4,411.52,16.51,62.86
8/20/2020 0:52,3.41,411.87,16.51,62.92
8/20/2020 0:53,3.41,411.35,16.54,62.87
8/20/2020 0:54,3.4,411.43,16.51,62.87
8/20/2020 0:55,3.41,411.72,16.52,62.89
8/20/2020 0:56,3.41,411.75,16.52,62.86
8/20/2020 0:57,3.4,411.26,16.48,62.76
8/20/2020 0:58,3.4,411.67,16.5,62.67
8/20/2020 0:59,3.4,411.79,16.5,62.66
8/20/2020 1:00,3.4,411.75,16.51,62.69
8/20/2020 1:01,3.41,412.29,16.58,62.72
8/20/2020 1:02,3.4,412.25,16.6,62.71
8/20/2020 1:03,3.4,412.76,16.58,62.75
8/20/2020 1:04,3.41,413.63,16.59,62.86
8/20/2020 1:05,3.41,413.3,16.55,62.78
8/20/2020 1:06,3.41,413.48,16.54,62.83
8/20/2020 1:07,3.41,413.32,16.51,62.87
8/20/2020 1:08,3.41,413.03,16.51,62.84
8/20/2020 1:09,3.41,413.05,16.47,62.87
8/20/2020 1:10,3.41,413.29,16.5,62.87
8/20/2020 1:11,3.41,413.21,16.45,62.85
8/20/2020 1:12,3.41,412.91,16.45,62.83
8/20/2020 1:13,3.4,412.47,16.45,62.82
8/20/2020 1:14,3.41,412.72,16.46,62.86
8/20/2020 1:15,3.41,412.44,16.45,62.84
8/20/2020 1:16,3.41,412.01,16.46,62.94
8/20/2020 1:17,3.4,412.07,16.5,62.94
8/20/2020 1:18,3.4,411.9,16.5,62.96
8/20/2020 1:19,3.4,411.68,16.45,63.02
8/20/2020 1:20,3.4,411.71,16.39,62.98
8/20/2020 1:21,3.39,411.39,16.39,62.89
8/20/2020 1:22,3.39,411.27,16.41,62.85
8/20/2020 1:23,3.39,411.22,16.42,62.84
8/20/2020 1:24,3.38,410.94,16.37,62.67
8/20/2020 1:25,3.39,411.25,16.39,62.71
8/20/2020 1:26,3.39,411.51,16.44,62.72
8/20/2020 1:27,3.39,411.44,16.42,62.71
8/20/2020 1:28,3.39,411.47,16.41,62.69
8/20/2020 1:29,3.38,410.79,16.4,62.51
8/20/2020 1:30,3.39,411.19,16.42,62.62
8/20/2020 1:31,3.4,411.56,16.44,62.76
8/20/2020 1:32,3.4,411.41,16.42,62.81
8/20/2020 1:33,3.4,411.24,16.42,62.76
8/20/2020 1:34,3.39,411.15,16.41,62.73
8/20/2020 1:35,3.4,411.67,16.42,62.8
8/20/2020 1:36,3.39,411.39,16.38,62.75
8/20/2020 1:37,3.39,411.16,16.37,62.75
8/20/2020 1:38,3.4,411.48,16.4,62.8
8/20/2020 1:39,3.4,411.27,16.38,62.81
8/20/2020 1:40,3.41,411.36,16.4,62.81
8/20/2020 1:41,3.41,411.65,16.38,62.93
8/20/2020 1:42,3.42,411.85,16.43,63.01
8/20/2020 1:43,3.43,412.56,16.46,63.27
8/20/2020 1:44,3.44,412.61,16.45,63.27
8/20/2020 1:45,3.44,413.11,16.48,63.37
8/20/2020 1:46,3.45,412.7,16.48,63.4
8/20/2020 1:47,3.44,412.16,16.48,63.33
8/20/2020 1:48,3.43,411.78,16.44,63.24
8/20/2020 1:49,3.43,411.49,16.44,63.27
8/20/2020 1:50,3.43,411.29,16.41,63.13
8/20/2020 1:51,3.42,410.67,16.39,63.08
8/20/2020 1:52,3.42,410.49,16.4,63.07
8/20/2020 1:53,3.43,410.6,16.39,63.14
8/20/2020 1:54,3.42,410.4,16.38,63.16
8/20/2020 1:55,3.43,410.72,16.42,63.14
8/20/2020 1:56,3.42,410.39,16.4,63.13
8/20/2020 1:57,3.42,410.65,16.44,63.16
8/20/2020 1:58,3.42,410.49,16.44,63.15
8/20/2020 1:59,3.42,410.18,16.45,63.14
8/20/2020 2:00,3.42,410.64,16.45,63.1
8/20/2020 2:01,3.42,411.14,16.45,63.12
8/20/2020 2:02,3.42,410.82,16.48,63.09
8/20/2020 2:03,3.42,411.15,16.48,63.08
8/20/2020 2:04,3.42,410.8,16.49,63.09
8/20/2020 2:05,3.42,410.63,16.51,63.05
8/20/2020 2:06,3.41,410.37,16.53,63.03
8/20/2020 2:07,3.41,409.97,16.59,63.05
8/20/2020 2:08,3.41,409.77,16.56,63.05
8/20/2020 2:09,3.41,409.59,16.6,63.01
8/20/2020 2:10,3.42,410.43,16.56,63.04
8/20/2020 2:11,3.42,410.58,16.56,63.07
8/20/2020 2:12,3.42,410.75,16.6,63.14
8/20/2020 2:13,3.41,410.09,16.51,63.1
8/20/2020 2:14,3.41,410.71,16.56,63.11
8/20/2020 2:15,3.41,410.22,16.58,63.09
8/20/2020 2:16,3.41,410.6,16.59,63.07
8/20/2020 2:17,3.42,410.63,16.59,63.05
8/20/2020 2:18,3.41,410.52,16.59,63.01
8/20/2020 2:19,3.41,410.01,16.6,62.94
8/20/2020 2:20,3.4,409.8,16.62,62.91
8/20/2020 2:21,3.4,409.77,16.59,62.82
8/20/2020 2:22,3.4,409.41,16.55,62.84
8/20/2020 2:23,3.4,409.04,16.56,62.81
8/20/2020 2:24,3.4,409.21,16.55,62.83
8/20/2020 2:25,3.4,409.31,16.55,62.85
8/20/2020 2:26,3.4,409.59,16.57,62.91
8/20/2020 2:27,3.4,409.35,16.55,62.85
8/20/2020 2:28,3.4,409.09,16.5,62.78
8/20/2020 2:29,3.4,409.11,16.5,62.76
8/20/2020 2:30,3.39,408.92,16.51,62.77
8/20/2020 2:31,3.4,408.96,16.47,62.78
8/20/2020 2:32,3.4,409.04,16.49,62.83
8/20/2020 2:33,3.39,408.91,16.5,62.81
8/20/2020 2:34,3.39,409.19,16.49,62.81
8/20/2020 2:35,3.39,409.48,16.53,62.9
8/20/2020 2:36,3.39,409.31,16.54,62.94
8/20/2020 2:37,3.39,409.34,16.55,62.96
8/20/2020 2:38,3.4,409.64,16.57,63.03
8/20/2020 2:39,3.4,409.7,16.62,63.04
8/20/2020 2:40,3.4,409.53,16.63,63.02
8/20/2020 2:41,3.39,409.27,16.61,62.91
8/20/2020 2:42,3.39,408.71,16.63,62.87
8/20/2020 2:43,3.39,408.44,16.6,62.83
8/20/2020 2:44,3.39,408.32,16.59,62.85
8/20/2020 2:45,3.39,408.23,16.57,62.83
8/20/2020 2:46,3.39,407.82,16.55,62.76
8/20/2020 2:47,3.39,407.94,16.55,62.58
8/20/2020 2:48,3.39,407.83,16.54,62.45
8/20/2020 2:49,3.38,407.67,16.49,62.51
8/20/2020 2:50,3.38,407.54,16.44,62.31
8/20/2020 2:51,3.38,407.3,16.45,62.17
8/20/2020 2:52,3.37,406.7,16.42,62
8/20/2020 2:53,3.38,407.73,16.47,62.34
8/20/2020 2:54,3.38,407.29,16.45,62.34
8/20/2020 2:55,3.39,407.55,16.46,62.39
8/20/2020 2:56,3.39,407.64,16.46,62.46
8/20/2020 2:57,3.39,407.96,16.46,62.47
8/20/2020 2:58,3.39,408.07,16.45,62.53
8/20/2020 2:59,3.39,408.06,16.45,62.51
8/20/2020 3:00,3.39,408.31,16.46,62.57
8/20/2020 3:01,3.39,408.06,16.46,62.46
8/20/2020 3:02,3.38,407.74,16.46,62.39
8/20/2020 3:03,3.38,407.21,16.45,62.27
8/20/2020 3:04,3.38,406.48,16.41,62.19
8/20/2020 3:05,3.38,406.57,16.38,62.19
8/20/2020 3:06,3.38,406.98,16.39,62.22
8/20/2020 3:07,3.38,406.89,16.36,62.24
8/20/2020 3:08,3.38,407.1,16.39,62.4
8/20/2020 3:09,3.39,406.83,16.39,62.33
