Date,BTCUSDT,EOSUSDT,ETHUSDT,LINKUSDT,LTCUSDT
8/29/2020 0:00,11534.32,3.1181,395.5,15.1333,57.41
8/29/2020 0:01,11529.92,3.1169,395.35,15.1306,57.39
8/29/2020 0:02,11535.53,3.1216,395.61,15.1775,57.53
8/29/2020 0:03,11531.24,3.1205,395.45,15.1608,57.56
8/29/2020 0:04,11524.88,3.1197,395.01,15.151,57.5
8/29/2020 0:05,11517.32,3.1174,394.83,15.1467,57.47
8/29/2020 0:06,11513.75,3.1176,394.68,15.1706,57.5
8/29/2020 0:07,11508.17,3.115,394.48,15.1665,57.41
8/29/2020 0:08,11510.65,3.1173,394.6,15.1793,57.51
8/29/2020 0:09,11514.21,3.1184,394.65,15.188,57.47
8/29/2020 0:10,11508.43,3.1161,394.38,15.168,57.42
8/29/2020 0:11,11509.57,3.1152,394.4,15.1649,57.43
8/29/2020 0:12,11506.14,3.1142,394.45,15.1712,57.42
8/29/2020 0:13,11504.95,3.1123,394.12,15.167,57.41
8/29/2020 0:14,11496.08,3.1069,393.91,15.1445,57.36
8/29/2020 0:15,11497.95,3.1065,393.97,15.1589,57.37
8/29/2020 0:16,11496.06,3.1082,394.06,15.1424,57.39
8/29/2020 0:17,11494.91,3.1088,393.94,15.1329,57.41
8/29/2020 0:18,11496.01,3.1096,394.05,15.1175,57.4
8/29/2020 0:19,11496.11,3.1093,393.98,15.1327,57.4
8/29/2020 0:20,11503.09,3.1131,394.34,15.1504,57.46
8/29/2020 0:21,11502.51,3.1128,394.39,15.1347,57.54
8/29/2020 0:22,11501.06,3.1104,394.11,15.1286,57.45
8/29/2020 0:23,11500.86,3.1104,394.01,15.1323,57.45
8/29/2020 0:24,11494.66,3.1081,393.61,15.1035,57.36
8/29/2020 0:25,11494.37,3.1088,393.55,15.1147,57.43
8/29/2020 0:26,11495.76,3.107,393.46,15.1082,57.4
8/29/2020 0:27,11499.14,3.108,393.63,15.0815,57.37
8/29/2020 0:28,11493.49,3.1032,393.32,15.0703,57.3
8/29/2020 0:29,11492.22,3.1072,393.36,15.0516,57.34
8/29/2020 0:30,11490.51,3.105,393.08,15.0344,57.35
8/29/2020 0:31,11492.05,3.1053,393.25,15.0412,57.37
8/29/2020 0:32,11507.64,3.1123,393.86,15.072,57.46
8/29/2020 0:33,11505.1,3.1095,393.55,15.0684,57.37
8/29/2020 0:34,11506.78,3.1116,393.74,15.0727,57.4
8/29/2020 0:35,11505.34,3.1127,393.71,15.0886,57.38
8/29/2020 0:36,11501.79,3.1089,393.55,15.0458,57.38
8/29/2020 0:37,11501.36,3.1109,393.63,15.0596,57.37
8/29/2020 0:38,11494.3,3.1101,393.31,15.0397,57.32
8/29/2020 0:39,11498.02,3.1081,393.55,15.0538,57.35
8/29/2020 0:40,11491.94,3.1062,393.3,15.0439,57.27
8/29/2020 0:41,11498.41,3.1099,394.1,15.0731,57.4
8/29/2020 0:42,11494.93,3.1093,393.83,15.0543,57.3
8/29/2020 0:43,11493.65,3.1052,393.63,15.0627,57.31
8/29/2020 0:44,11492.4,3.1075,393.64,15.0485,57.26
8/29/2020 0:45,11496.24,3.1084,393.91,15.0682,57.28
8/29/2020 0:46,11491.99,3.105,393.72,15.0601,57.25
8/29/2020 0:47,11494.44,3.1051,393.75,15.0721,57.24
8/29/2020 0:48,11492.96,3.1069,393.63,15.0807,57.24
8/29/2020 0:49,11486.58,3.1036,393.38,15.0491,57.19
8/29/2020 0:50,11482.95,3.1013,393.13,15.042,57.08
8/29/2020 0:51,11483.64,3.0987,392.78,15.0433,57.08
8/29/2020 0:52,11473.05,3.0951,392.41,15.0152,57.01
8/29/2020 0:53,11479.23,3.0997,392.94,15.0205,57.09
8/29/2020 0:54,11484.19,3.1003,393.06,15.0449,57.07
8/29/2020 0:55,11483.4,3.0972,393.11,15.0472,57.09
8/29/2020 0:56,11483.9,3.0981,393.08,15.0427,57.12
8/29/2020 0:57,11493.13,3.1019,393.74,15.088,57.17
8/29/2020 0:58,11492.82,3.1049,394.03,15.1052,57.25
8/29/2020 0:59,11489.79,3.1012,393.77,15.0972,57.21
8/29/2020 1:00,11483.92,3.0956,393.16,15.0579,57.13
8/29/2020 1:01,11477.62,3.0899,392.65,15.0283,57
8/29/2020 1:02,11484.1,3.0953,393,15.0486,57.08
8/29/2020 1:03,11489.52,3.0989,393.07,15.0486,57.09
8/29/2020 1:04,11503,3.1002,393.75,15.0747,57.17
8/29/2020 1:05,11499.24,3.0991,393.43,15.0705,57.13
