,close,close,close,close
coin,EOSUSDT,ETHUSDT,LINKUSDT,LTCUSDT
timestamp,,,,
2020-08-20 00:00:00,3.35,408.65,16.2313,62.2
2020-08-20 00:01:00,3.3591,410.19,16.2673,62.42
2020-08-20 00:02:00,3.3579,410.66,16.2728,62.41
2020-08-20 00:03:00,3.3625,410.57,16.3098,62.65
2020-08-20 00:04:00,3.366,411.53,16.3182,62.76
2020-08-20 00:05:00,3.3686,411.72,16.3631,62.55
2020-08-20 00:06:00,3.3731,410.77,16.366,62.79
2020-08-20 00:07:00,3.372,410.77,16.3715,62.8
2020-08-20 00:08:00,3.3731,411.0,16.3633,62.77
2020-08-20 00:09:00,3.379,411.55,16.3985,62.84
2020-08-20 00:10:00,3.3866,411.88,16.4258,62.81
2020-08-20 00:11:00,3.3887,413.06,16.4643,62.85
2020-08-20 00:12:00,3.3892,413.26,16.5736,62.8
2020-08-20 00:13:00,3.3828,412.07,16.5198,62.64
2020-08-20 00:14:00,3.3879,412.99,16.5386,62.78
2020-08-20 00:15:00,3.385,413.06,16.4451,62.81
2020-08-20 00:16:00,3.3814,412.62,16.4986,62.79
2020-08-20 00:17:00,3.3826,413.12,16.49,62.83
2020-08-20 00:18:00,3.3822,412.99,16.4318,62.75
2020-08-20 00:19:00,3.3815,412.71,16.4224,62.67
2020-08-20 00:20:00,3.3843,413.53,16.4971,62.72
2020-08-20 00:21:00,3.3883,414.15,16.506,62.83
2020-08-20 00:22:00,3.3914,414.06,16.5,62.9
2020-08-20 00:23:00,3.3979,414.57,16.5607,62.99
2020-08-20 00:24:00,3.3998,414.16,16.5402,63.03
2020-08-20 00:25:00,3.3962,414.18,16.5889,62.99
2020-08-20 00:26:00,3.3971,414.4,16.5947,63.09
2020-08-20 00:27:00,3.3984,414.31,16.6251,63.04
2020-08-20 00:28:00,3.3948,413.68,16.7082,63.01
2020-08-20 00:29:00,3.3951,413.09,16.6505,63.01
2020-08-20 00:30:00,3.3968,413.27,16.613,63.01
2020-08-20 00:31:00,3.3977,413.49,16.6376,63.1
2020-08-20 00:32:00,3.4004,413.57,16.6023,63.08
2020-08-20 00:33:00,3.402,413.24,16.621,63.06
2020-08-20 00:34:00,3.3991,412.81,16.6033,62.94
2020-08-20 00:35:00,3.3924,412.32,16.575,62.86
2020-08-20 00:36:00,3.3971,412.53,16.5616,62.89
